User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3
1000004,P00128942,M,46-50,7,B,2,1,1,11,
1000009,P00113442,M,26-35,17,C,0,0,3,5,
1000010,P00288442,F,36-45,1,B,4+,1,5,14,
1000010,P00145342,F,36-45,1,B,4+,1,4,9,
1000011,P00053842,F,26-35,1,C,1,0,4,5,12
1000013,P00350442,M,46-50,1,C,3,1,2,3,15
1000013,P00155442,M,46-50,1,C,3,1,1,11,15
1000013,P0094542,M,46-50,1,C,3,1,2,4,9
1000015,P00161842,M,26-35,7,A,1,0,10,13,16
1000022,P00067942,M,18-25,15,A,4+,0,5,14,
1000026,P00046742,M,26-35,7,B,2,1,1,2,15
1000026,P00040042,M,26-35,7,B,2,1,5,,
1000026,P00196542,M,26-35,7,B,2,1,5,8,14
1000026,P00004542,M,26-35,7,B,2,1,5,8,
1000028,P00159542,F,26-35,1,C,2,1,10,15,16
1000029,P00111542,M,36-45,7,C,1,0,2,17,
1000033,P00121042,M,46-50,3,A,1,1,15,,
1000033,P00344442,M,46-50,3,A,1,1,5,8,14
1000034,P00265242,F,18-25,0,A,0,0,5,8,
1000035,P0096642,M,46-50,1,C,4+,1,2,3,4
1000036,P00303042,M,26-35,3,B,0,0,5,,
1000036,P00059642,M,26-35,3,B,0,0,1,2,3
1000042,P00030842,M,26-35,8,C,0,1,1,2,15
1000045,P00346442,F,46-50,16,A,1,1,1,2,14
1000045,P00357242,F,46-50,16,A,1,1,5,,
1000045,P00284742,F,46-50,16,A,1,1,5,12,
1000048,P00110842,M,26-35,4,B,3,1,1,2,5
1000048,P00251642,M,26-35,4,B,3,1,1,2,4
1000053,P00136742,M,26-35,0,B,1,0,1,14,16
1000053,P0097342,M,26-35,0,B,1,0,1,15,16
1000053,P00168242,M,26-35,0,B,1,0,5,16,
1000053,P00354342,M,26-35,0,B,1,0,5,11,
1000053,P00105042,M,26-35,0,B,1,0,5,9,
1000059,P00177442,F,51-55,1,B,4+,1,1,6,8
1000062,P00119242,F,36-45,3,A,1,0,18,,
1000063,P00260242,M,18-25,4,C,2,0,5,16,
1000063,P00113642,M,18-25,4,C,2,0,8,,
1000065,P00000142,M,36-45,12,C,2,1,3,4,5
1000068,P00216342,M,18-25,4,A,0,0,3,4,5
1000069,P00157542,F,26-35,1,A,1,0,8,14,
1000073,P00112642,M,18-25,4,A,4+,0,1,2,5
1000078,P0095842,F,46-50,1,C,0,1,3,4,12
1000080,P00112142,M,55+,1,C,3,1,1,2,14
1000081,P00109142,F,26-35,0,A,1,1,8,17,
1000081,P00120342,F,26-35,0,A,1,1,5,17,
1000082,P00014542,M,26-35,17,C,2,1,8,,
1000090,P00117542,M,55+,13,C,1,0,18,,
1000092,P00220442,F,18-25,4,B,1,0,5,14,
1000092,P00171542,F,18-25,4,B,1,0,2,5,14
1000094,P00178242,M,26-35,17,C,1,0,8,,
1000096,P00293342,F,26-35,16,C,2,1,8,,
1000097,P00117842,F,36-45,3,C,3,0,5,13,16
1000098,P00327542,F,36-45,7,C,2,1,5,,
1000100,P00110842,M,36-45,17,C,4+,0,1,2,5
1000100,P00193542,M,36-45,17,C,4+,0,1,2,
1000100,P00243942,M,36-45,17,C,4+,0,1,2,15
1000103,P00148542,M,46-50,7,B,2,1,1,16,17
1000107,P00089042,M,46-50,18,C,4+,0,13,,
1000116,P00267542,M,26-35,17,C,2,1,1,16,
1000117,P00147742,M,26-35,17,A,2,1,1,16,
1000117,P00223542,M,26-35,17,A,2,1,1,8,17
1000117,P00185442,M,26-35,17,A,2,1,15,,
1000120,P00110542,M,26-35,11,C,0,0,8,,
1000123,P00014042,M,36-45,9,B,4+,1,1,,
1000123,P00177442,M,36-45,9,B,4+,1,1,6,8
1000123,P00295342,M,36-45,9,B,4+,1,2,8,
1000123,P00266542,M,36-45,9,B,4+,1,2,16,
1000129,P00089242,M,26-35,11,C,2,0,2,5,
1000130,P00312742,M,36-45,17,B,3,1,15,,
1000130,P00286742,M,36-45,17,B,3,1,1,16,
1000131,P00210942,M,18-25,4,C,4+,0,5,12,
1000132,P00192842,M,26-35,17,C,1,0,5,14,
1000134,P00138542,M,26-35,0,C,3,1,5,6,
1000134,P00047242,M,26-35,0,C,3,1,1,5,
1000136,P00148642,M,18-25,2,B,3,0,6,10,13
1000139,P00150542,F,26-35,20,C,2,0,5,,
1000139,P00201442,F,26-35,20,C,2,0,1,6,8
1000146,P00124342,F,36-45,20,B,3,1,11,,
1000147,P00165642,M,18-25,4,B,4+,0,1,8,16
1000147,P00305142,M,18-25,4,B,4+,0,1,,
1000148,P00359242,M,51-55,17,B,3,1,1,5,17
1000148,P00084842,M,51-55,17,B,3,1,8,16,
1000150,P00336942,M,36-45,7,B,0,1,5,,
1000151,P00144242,F,26-35,20,A,1,1,5,14,
1000151,P00015142,F,26-35,20,A,1,1,5,,
1000157,P00223542,M,36-45,16,A,1,0,1,8,17
1000157,P00115442,M,36-45,16,A,1,0,8,,
1000157,P00129842,M,36-45,16,A,1,0,6,8,15
1000157,P00287342,M,36-45,16,A,1,0,5,,
1000157,P00115942,M,36-45,16,A,1,0,8,17,
1000158,P00086342,M,55+,7,C,2,1,8,,
